"","Year","Quarter","Percentage unemployed %"
"1","1966","Q3",1.8
"2","1966","Q4",1.7
"3","1967","Q1",1.8
"4","1967","Q2",2
"5","1967","Q3",1.9
"6","1967","Q4",1.8
"7","1968","Q1",1.9
"8","1968","Q2",1.9
"9","1968","Q3",1.8
"10","1968","Q4",1.7
"11","1969","Q1",1.8
"12","1969","Q2",1.8
"13","1969","Q3",1.7
"14","1969","Q4",1.9
"15","1970","Q1",1.6
"16","1970","Q2",1.7
"17","1970","Q3",1.7
"18","1970","Q4",1.6
"19","1971","Q1",1.7
"20","1971","Q2",1.9
"21","1971","Q3",1.9
"22","1971","Q4",2.2
"23","1972","Q1",2.4
"24","1972","Q2",2.4
"25","1972","Q3",2.9
"26","1972","Q4",2.8
"27","1973","Q1",2.6
"28","1973","Q2",2.3
"29","1973","Q3",2.1
"30","1973","Q4",2.1
"31","1974","Q1",2.1
"32","1974","Q2",2.1
"33","1974","Q3",2.7
"34","1974","Q4",4
"35","1975","Q1",4.8
"36","1975","Q2",4.8
"37","1975","Q3",4.7
"38","1975","Q4",5.4
"39","1976","Q1",4.9
"40","1976","Q2",4.5
"41","1976","Q3",4.8
"42","1976","Q4",4.9
"43","1977","Q1",5.2
"44","1977","Q2",5.6
"45","1977","Q3",5.8
"46","1977","Q4",5.9
"47","1978","Q1",6.6
"48","1978","Q2",6.247291
"49","1978","Q3",6.329093
"50","1978","Q4",6.290366
"51","1979","Q1",6.299435
"52","1979","Q2",6.303057
"53","1979","Q3",6.185495
"54","1979","Q4",6.172864
"55","1980","Q1",6.018836
"56","1980","Q2",6.214065
"57","1980","Q3",6.110534
"58","1980","Q4",5.975347
"59","1981","Q1",5.752905
"60","1981","Q2",5.493331
"61","1981","Q3",5.81321
"62","1981","Q4",5.954592
"63","1982","Q1",6.197286
"64","1982","Q2",6.550255
"65","1982","Q3",7.091016
"66","1982","Q4",8.77672
"67","1983","Q1",9.624921
"68","1983","Q2",10.20324
"69","1983","Q3",10.31453
"70","1983","Q4",9.685612
"71","1984","Q1",9.35224
"72","1984","Q2",9.116517
"73","1984","Q3",8.791968
"74","1984","Q4",8.61071
"75","1985","Q1",8.51653
"76","1985","Q2",8.438321
"77","1985","Q3",8.144669
"78","1985","Q4",7.843212
"79","1986","Q1",7.891057
"80","1986","Q2",7.793152
"81","1986","Q3",8.220776
"82","1986","Q4",8.313378
"83","1987","Q1",8.250949
"84","1987","Q2",8.166851
"85","1987","Q3",7.971498
"86","1987","Q4",7.901124
"87","1988","Q1",7.49014
"88","1988","Q2",7.630565
"89","1988","Q3",6.914628
"90","1988","Q4",6.744299
"91","1989","Q1",6.590143
"92","1989","Q2",6.165458
"93","1989","Q3",6.004673
"94","1989","Q4",5.845165
"95","1990","Q1",6.224325
"96","1990","Q2",6.465126
"97","1990","Q3",7.208668
"98","1990","Q4",7.856067
"99","1991","Q1",8.719422
"100","1991","Q2",9.616849
"101","1991","Q3",9.8344
"102","1991","Q4",10.20463
"103","1992","Q1",10.40395
"104","1992","Q2",10.63062
"105","1992","Q3",10.80169
"106","1992","Q4",11.13345
"107","1993","Q1",10.8924
"108","1993","Q2",10.84445
"109","1993","Q3",10.86922
"110","1993","Q4",10.87394
"111","1994","Q1",10.43229
"112","1994","Q2",9.878394
"113","1994","Q3",9.464334
"114","1994","Q4",9.045121
"115","1995","Q1",8.760294
"116","1995","Q2",8.36048
"117","1995","Q3",8.360589
"118","1995","Q4",8.379194
"119","1996","Q1",8.396814
"120","1996","Q2",8.409202
"121","1996","Q3",8.615034
"122","1996","Q4",8.608762
"123","1997","Q1",8.614674
"124","1997","Q2",8.473478
"125","1997","Q3",8.366869
"126","1997","Q4",7.967634
"127","1998","Q1",7.83621
"128","1998","Q2",7.723004
"129","1998","Q3",7.780899
"130","1998","Q4",7.368342
"131","1999","Q1",7.079414
"132","1999","Q2",6.875143
"133","1999","Q3",6.870312
"134","1999","Q4",6.627629
"135","2000","Q1",6.648729
"136","2000","Q2",6.291381
"137","2000","Q3",5.985545
"138","2000","Q4",6.167636
"139","2001","Q1",6.364746
"140","2001","Q2",6.858244
"141","2001","Q3",6.863648
"142","2001","Q4",6.975877
"143","2002","Q1",6.618988
"144","2002","Q2",6.393834
"145","2002","Q3",6.280951
"146","2002","Q4",6.152321
"147","2003","Q1",6.047838
"148","2003","Q2",6.042065
"149","2003","Q3",5.907015
"150","2003","Q4",5.702476
"151","2004","Q1",5.530329
"152","2004","Q2",5.427247
"153","2004","Q3",5.481302
"154","2004","Q4",5.113344
"155","2005","Q1",5.101471
"156","2005","Q2",5.049685
"157","2005","Q3",4.958052
"158","2005","Q4",5.002717
"159","2006","Q1",5.040695
"160","2006","Q2",4.849803
"161","2006","Q3",4.676731
"162","2006","Q4",4.511736
"163","2007","Q1",4.547422
"164","2007","Q2",4.319776
"165","2007","Q3",4.252652
"166","2007","Q4",4.349569
"167","2008","Q1",4.082338
"168","2008","Q2",4.253327
"169","2008","Q3",4.180418
"170","2008","Q4",4.437045
"171","2009","Q1",5.305082
"172","2009","Q2",5.72338
"173","2009","Q3",5.674431
"174","2009","Q4",5.552956
"175","2010","Q1",5.327851
"176","2010","Q2",5.28655
"177","2010","Q3",5.117117
"178","2010","Q4",5.086961
"179","2011","Q1",4.966513
"180","2011","Q2",4.960702
"181","2011","Q3",5.184055
"182","2011","Q4",5.203496
"183","2012","Q1",5.140934
"184","2012","Q2",5.119458
"185","2012","Q3",5.26334
"186","2012","Q4",5.366964
"187","2013","Q1",5.47459
"188","2013","Q2",5.634692
"189","2013","Q3",5.712237
"190","2013","Q4",5.839662
"191","2014","Q1",5.88214
"192","2014","Q2",5.934301
"193","2014","Q3",6.190634
"194","2014","Q4",6.253435
"195","2015","Q1",6.184368
"196","2015","Q2",6.030861
"197","2015","Q3",6.200301
"198","2015","Q4",5.832297
"199","2016","Q1",5.776592
"200","2016","Q2",5.704367
"201","2016","Q3",5.668702
"202","2016","Q4",5.716777
"203","2017","Q1",5.7865
"204","2017","Q2",5.60898
"205","2017","Q3",5.536902
"206","2017","Q4",5.455117
