"","Year","Quarter","GDP(US$ Millions)"
"1","1960","Q1",25754.727793
"2","1960","Q2",26454.717811
"3","1960","Q3",26538.869747
"4","1960","Q4",26507.261114
"5","1961","Q1",26597.972356
"6","1961","Q2",26342.204922
"7","1961","Q3",26217.980381
"8","1961","Q4",26617.559551
"9","1962","Q1",27543.524487
"10","1962","Q2",28137.593657
"11","1962","Q3",28428.239353
"12","1962","Q4",28979.181875
"13","1963","Q1",29742.843019
"14","1963","Q2",29379.014306
"15","1963","Q3",30609.459357
"16","1963","Q4",31521.268487
"17","1964","Q1",31584.840317
"18","1964","Q2",32449.67304
"19","1964","Q3",32785.497156
"20","1964","Q4",33868.217439
"21","1965","Q1",34316.918241
"22","1965","Q2",35020.534696
"23","1965","Q3",35078.908861
"24","1965","Q4",35442.012782
"25","1966","Q1",35621.916405
"26","1966","Q2",36434.512732
"27","1966","Q3",37831.120257
"28","1966","Q4",38375.427898
"29","1967","Q1",39983.13177
"30","1967","Q2",40085.760481
"31","1967","Q3",41201.658273
"32","1967","Q4",42002.049504
"33","1968","Q1",42091.030668
"34","1968","Q2",44173.81352
"35","1968","Q3",45189.969579
"36","1968","Q4",47542.077155
"37","1969","Q1",47717.784861
"38","1969","Q2",49293.114109
"39","1969","Q3",50826.048201
"40","1969","Q4",52556.548863
"41","1970","Q1",54310.063274
"42","1970","Q2",56058.657192
"43","1970","Q3",56269.91908
"44","1970","Q4",58295.177337
"45","1971","Q1",59174.536385
"46","1971","Q2",60321.023696
"47","1971","Q3",62986.957703
"48","1971","Q4",63304.844789
"49","1972","Q1",63473.759945
"50","1972","Q2",65121.619623
"51","1972","Q3",65284.523561
"52","1972","Q4",66713.884851
"53","1973","Q1",69143.611719
"54","1973","Q2",70273.355171
"55","1973","Q3",72282.857332
"56","1973","Q4",75560.784869
"57","1974","Q1",77008.091016
"58","1974","Q2",77302.273304
"59","1974","Q3",80595.422735
"60","1974","Q4",83189.182251
"61","1975","Q1",85604.26016
"62","1975","Q2",89708.601399
"63","1975","Q3",90327.687804
"64","1975","Q4",90478.470314
"65","1976","Q1",95268.347882
"66","1976","Q2",96658.167923
"67","1976","Q3",98545.77014
"68","1976","Q4",101196.952927
"69","1977","Q1",102388.821874
"70","1977","Q2",105393.91614
"71","1977","Q3",106288.729059
"72","1977","Q4",108306.760807
"73","1978","Q1",110747.40151
"74","1978","Q2",113831.142434
"75","1978","Q3",117288.415209
"76","1978","Q4",120644.421755
"77","1979","Q1",126113.411322
"78","1979","Q2",126947.722306
"79","1979","Q3",130755.693652
"80","1979","Q4",135862.285991
"81","1980","Q1",139219.805768
"82","1980","Q2",142730.351974
"83","1980","Q3",146825.231038
"84","1980","Q4",153580.646604
"85","1981","Q1",158171.950534
"86","1981","Q2",163710.230043
"87","1981","Q3",169988.487026
"88","1981","Q4",172383.454732
"89","1982","Q1",173155.842552
"90","1982","Q2",176944.356919
"91","1982","Q3",178295.60883
"92","1982","Q4",177760.877964
"93","1983","Q1",177833.642899
"94","1983","Q2",178890.611124
"95","1983","Q3",185699.648049
"96","1983","Q4",189891.404421
"97","1984","Q1",196118.669347
"98","1984","Q2",199730.944355
"99","1984","Q3",203208.184285
"100","1984","Q4",206349.671219
"101","1985","Q1",211966.287149
"102","1985","Q2",218359.298029
"103","1985","Q3",223015.966354
"104","1985","Q4",223201.59598
"105","1986","Q1",225040.884769
"106","1986","Q2",225066.299263
"107","1986","Q3",226495.136471
"108","1986","Q4",231650.896175
"109","1987","Q1",236090.859172
"110","1987","Q2",241692.90471
"111","1987","Q3",248160.706781
"112","1987","Q4",255532.153128
"113","1988","Q1",259047.529336
"114","1988","Q2",261820.02544
"115","1988","Q3",267052.423838
"116","1988","Q4",273180.035008
"117","1989","Q1",278859.631015
"118","1989","Q2",287375.615241
"119","1989","Q3",291850.386501
"120","1989","Q4",293274.632944
"121","1990","Q1",299283.476591
"122","1990","Q2",302726.794249
"123","1990","Q3",303437.428423
"124","1990","Q4",306887.200502
"125","1991","Q1",304932.929979
"126","1991","Q2",306058.227239
"127","1991","Q3",309716.535405
"128","1991","Q4",312089.489644
"129","1992","Q1",316851.116187
"130","1992","Q2",321721.4922
"131","1992","Q3",326830.760047
"132","1992","Q4",335783.805784
"133","1993","Q1",339678.221276
"134","1993","Q2",343353.695694
"135","1993","Q3",345758.9889
"136","1993","Q4",354065.565016
"137","1994","Q1",362047.244943
"138","1994","Q2",368539.68505
"139","1994","Q3",373430.124687
"140","1994","Q4",379002.407424
"141","1995","Q1",381165.311302
"142","1995","Q2",384099.120073
"143","1995","Q3",394600.278298
"144","1995","Q4",396931.690514
"145","1996","Q1",405769.173406
"146","1996","Q2",410032.626106
"147","1996","Q3",414353.868302
"148","1996","Q4",419485.544734
"149","1997","Q1",423885.832397
"150","1997","Q2",437348.370354
"151","1997","Q3",439700.953662
"152","1997","Q4",448000.698452
"153","1998","Q1",453534.444735
"154","1998","Q2",459356.252958
"155","1998","Q3",469804.227346
"156","1998","Q4",477615.437843
"157","1999","Q1",481904.202905
"158","1999","Q2",484746.668889
"159","1999","Q3",492517.654851
"160","1999","Q4",504474.398797
"161","2000","Q1",512863.646987
"162","2000","Q2",522208.24349
"163","2000","Q3",527219.724207
"164","2000","Q4",527862.978837
"165","2001","Q1",535374.833494
"166","2001","Q2",543350.202636
"167","2001","Q3",551928.393655
"168","2001","Q4",561340.686752
"169","2002","Q1",569052.699014
"170","2002","Q2",582498.225986
"171","2002","Q3",587715.658526
"172","2002","Q4",594926.173549
"173","2003","Q1",598166.943382
"174","2003","Q2",601552.154218
"175","2003","Q3",613876.249708
"176","2003","Q4",627517.523546
"177","2004","Q1",638315.420606
"178","2004","Q2",648379.633763
"179","2004","Q3",656396.292205
"180","2004","Q4",665228.301894
"181","2005","Q1",675539.498847
"182","2005","Q2",683582.118426
"183","2005","Q3",697422.721234
"184","2005","Q4",710753.579001
"185","2006","Q1",720396.311592
"186","2006","Q2",729340.043035
"187","2006","Q3",745812.408752
"188","2006","Q4",757453.30588
"189","2007","Q1",776705.812272
"190","2007","Q2",785515.098694
"191","2007","Q3",796961.747232
"192","2007","Q4",804543.030356
"193","2008","Q1",818823.273015
"194","2008","Q2",826481.008809
"195","2008","Q3",842478.637193
"196","2008","Q4",845245.326582
"197","2009","Q1",864219.006016
"198","2009","Q2",872567.088825
"199","2009","Q3",876375.854276
"200","2009","Q4",883430.914018
"201","2010","Q1",885795.291549
"202","2010","Q2",894942.882305
"203","2010","Q3",908361.823279
"204","2010","Q4",931190.420306
"205","2011","Q1",947167.429105
"206","2011","Q2",968770.777263
"207","2011","Q3",981740.597741
"208","2011","Q4",978228.070503
"209","2012","Q1",968361.746183
"210","2012","Q2",971279.55829
"211","2012","Q3",981934.542752
"212","2012","Q4",1007024.428781
"213","2013","Q1",1045083.169737
"214","2013","Q2",1074083.239065
"215","2013","Q3",1097502.375672
"216","2013","Q4",1110745.109746
"217","2014","Q1",1110369.603815
"218","2014","Q2",1111228.25742
"219","2014","Q3",1110362.277396
"220","2014","Q4",1106765.794794
"221","2015","Q1",1108597.49552
"222","2015","Q2",1109033.330993
"223","2015","Q3",1117292.300344
"224","2015","Q4",1120257.63175
"225","2016","Q1",1128923.146353
"226","2016","Q2",1142688.035632
"227","2016","Q3",1144452.673058
"228","2016","Q4",1162220.826681
"229","2017","Q1",1177474.843673
"230","2017","Q2",1194262.875918
"231","2017","Q3",1212989.604108
"232","2017","Q4",1228707.628139
