"","CountryName","GrowthCount"
"1","AUS",197
"2","ESP",189
"3","USA",189
"4","ITA",186
"5","IRL",185
"6","FRA",167
"7","AUT",155
"8","DEU",153
"9","NLD",146
"10","KOR",140
"11","GBR",130
"12","JPN",129
"13","BEL",128
"14","LUX",126
"15","NOR",124
"16","CAN",117
"17","SWE",117
"18","TUR",113
"19","DNK",98
"20","FIN",92
"21","PRT",90
"22","MEX",89
"23","ZAF",85
"24","CHE",69
"25","CRI",68
"26","NZL",67
"27","ISL",56
"28","GRC",53
"29","SVN",53
"30","HUN",51
"31","LTU",50
"32","CHL",48
"33","LVA",47
"34","BRA",45
"35","CZE",44
"36","RUS",40
"37","IDN",37
"38","EST",35
"39","ISR",26
"40","ARG",25
"41","SVK",22
"42","COL",0
"43","IND",0
"44","POL",0
"45","SAU",0
