"","Year","Quarter","Balance_on_goods_and_services($ Million)"
"1","1971","Q3",-4
"2","1971","Q4",-10
"3","1972","Q1",107
"4","1972","Q2",286
"5","1972","Q3",294
"6","1972","Q4",406
"7","1973","Q1",469
"8","1973","Q2",390
"9","1973","Q3",162
"10","1973","Q4",166
"11","1974","Q1",-82
"12","1974","Q2",-285
"13","1974","Q3",-463
"14","1974","Q4",-236
"15","1975","Q1",58
"16","1975","Q2",318
"17","1975","Q3",38
"18","1975","Q4",19
"19","1976","Q1",-81
"20","1976","Q2",140
"21","1976","Q3",61
"22","1976","Q4",-44
"23","1977","Q1",-375
"24","1977","Q2",-248
"25","1977","Q3",-358
"26","1977","Q4",72
"27","1978","Q1",-428
"28","1978","Q2",-299
"29","1978","Q3",-628
"30","1978","Q4",-429
"31","1979","Q1",-197
"32","1979","Q2",11
"33","1979","Q3",36
"34","1979","Q4",477
"35","1980","Q1",18
"36","1980","Q2",177
"37","1980","Q3",-717
"38","1980","Q4",-482
"39","1981","Q1",-883
"40","1981","Q2",-705
"41","1981","Q3",-1484
"42","1981","Q4",-1448
"43","1982","Q1",-1604
"44","1982","Q2",-1245
"45","1982","Q3",-1461
"46","1982","Q4",-698
"47","1983","Q1",-1055
"48","1983","Q2",-630
"49","1983","Q3",-1107
"50","1983","Q4",-78
"51","1984","Q1",-1000
"52","1984","Q2",-863
"53","1984","Q3",-1873
"54","1984","Q4",-1137
"55","1985","Q1",-777
"56","1985","Q2",-1028
"57","1985","Q3",-2611
"58","1985","Q4",-1685
"59","1986","Q1",-1890
"60","1986","Q2",-1807
"61","1986","Q3",-2180
"62","1986","Q4",-941
"63","1987","Q1",-871
"64","1987","Q2",-578
"65","1987","Q3",-1328
"66","1987","Q4",-163
"67","1988","Q1",57
"68","1988","Q2",-706
"69","1988","Q3",-1530
"70","1988","Q4",-1383
"71","1989","Q1",-1910
"72","1989","Q2",-1916
"73","1989","Q3",-3562
"74","1989","Q4",-2134
"75","1990","Q1",-1716
"76","1990","Q2",-371
"77","1990","Q3",-1524
"78","1990","Q4",-275
"79","1991","Q1",226
"80","1991","Q2",1023
"81","1991","Q3",-184
"82","1991","Q4",446
"83","1992","Q1",438
"84","1992","Q2",451
"85","1992","Q3",-1342
"86","1992","Q4",-91
"87","1993","Q1",145
"88","1993","Q2",-135
"89","1993","Q3",-1787
"90","1993","Q4",-16
"91","1994","Q1",-150
"92","1994","Q2",-448
"93","1994","Q3",-3740
"94","1994","Q4",-1936
"95","1995","Q1",-1993
"96","1995","Q2",-2063
"97","1995","Q3",-2316
"98","1995","Q4",-721
"99","1996","Q1",137
"100","1996","Q2",505
"101","1996","Q3",-1358
"102","1996","Q4",-106
"103","1997","Q1",624
"104","1997","Q2",2366
"105","1997","Q3",-849
"106","1997","Q4",-285
"107","1998","Q1",-2338
"108","1998","Q2",-1699
"109","1998","Q3",-4414
"110","1998","Q4",-2948
"111","1999","Q1",-3653
"112","1999","Q2",-4159
"113","1999","Q3",-5575
"114","1999","Q4",-3139
"115","2000","Q1",-2472
"116","2000","Q2",-3093
"117","2000","Q3",-1591
"118","2000","Q4",-798
"119","2001","Q1",993
"120","2001","Q2",2004
"121","2001","Q3",946
"122","2001","Q4",-319
"123","2002","Q1",509
"124","2002","Q2",-1197
"125","2002","Q3",-3222
"126","2002","Q4",-4684
"127","2003","Q1",-3378
"128","2003","Q2",-5584
"129","2003","Q3",-6778
"130","2003","Q4",-6037
"131","2004","Q1",-5339
"132","2004","Q2",-5216
"133","2004","Q3",-7671
"134","2004","Q4",-7967
"135","2005","Q1",-5115
"136","2005","Q2",-4529
"137","2005","Q3",-5651
"138","2005","Q4",-4336
"139","2006","Q1",-3839
"140","2006","Q2",-4273
"141","2006","Q3",-3761
"142","2006","Q4",-4737
"143","2007","Q1",-4346
"144","2007","Q2",-5022
"145","2007","Q3",-8011
"146","2007","Q4",-9643
"147","2008","Q1",-8152
"148","2008","Q2",-4180
"149","2008","Q3",-1879
"150","2008","Q4",1187
"151","2009","Q1",4819
"152","2009","Q2",-1459
"153","2009","Q3",-6636
"154","2009","Q4",-7617
"155","2010","Q1",-3832
"156","2010","Q2",4687
"157","2010","Q3",2974
"158","2010","Q4",2288
"159","2011","Q1",2810
"160","2011","Q2",5614
"161","2011","Q3",2295
"162","2011","Q4",281
"163","2012","Q1",-4269
"164","2012","Q2",-2036
"165","2012","Q3",-7931
"166","2012","Q4",-8715
"167","2013","Q1",-1562
"168","2013","Q2",-1704
"169","2013","Q3",-5592
"170","2013","Q4",-1988
"171","2014","Q1",3734
"172","2014","Q2",-2989
"173","2014","Q3",-6911
"174","2014","Q4",-4708
"175","2015","Q1",-2611
"176","2015","Q2",-10439
"177","2015","Q3",-11305
"178","2015","Q4",-12904
"179","2016","Q1",-6073
"180","2016","Q2",-7315
"181","2016","Q3",-6323
"182","2016","Q4",5982
"183","2017","Q1",8409
"184","2017","Q2",3024
"185","2017","Q3",1046
"186","2017","Q4",-680
"187","2018","Q1",894
