"","Year","Quarter","Consumer Price Index(CPI)","CPI_PreviousPeriod_%change"
"1","1948","Q3",3.7,NA
"2","1948","Q4",3.8,2.7
"3","1949","Q1",3.9,2.6
"4","1949","Q2",4,2.6
"5","1949","Q3",4.1,2.5
"6","1949","Q4",4.1,0
"7","1950","Q1",4.2,2.4
"8","1950","Q2",4.3,2.4
"9","1950","Q3",4.4,2.3
"10","1950","Q4",4.6,4.5
"11","1951","Q1",4.8,4.3
"12","1951","Q2",5.1,6.3
"13","1951","Q3",5.3,3.9
"14","1951","Q4",5.7,7.5
"15","1952","Q1",5.9,3.5
"16","1952","Q2",6.1,3.4
"17","1952","Q3",6.2,1.6
"18","1952","Q4",6.3,1.6
"19","1953","Q1",6.3,0
"20","1953","Q2",6.4,1.6
"21","1953","Q3",6.5,1.6
"22","1953","Q4",6.4,-1.5
"23","1954","Q1",6.5,1.6
"24","1954","Q2",6.5,0
"25","1954","Q3",6.5,0
"26","1954","Q4",6.5,0
"27","1955","Q1",6.5,0
"28","1955","Q2",6.6,1.5
"29","1955","Q3",6.6,0
"30","1955","Q4",6.7,1.5
"31","1956","Q1",6.7,0
"32","1956","Q2",7,4.5
"33","1956","Q3",7.1,1.4
"34","1956","Q4",7.1,0
"35","1957","Q1",7.1,0
"36","1957","Q2",7.2,1.4
"37","1957","Q3",7.2,0
"38","1957","Q4",7.2,0
"39","1958","Q1",7.2,0
"40","1958","Q2",7.2,0
"41","1958","Q3",7.2,0
"42","1958","Q4",7.3,1.4
"43","1959","Q1",7.3,0
"44","1959","Q2",7.3,0
"45","1959","Q3",7.4,1.4
"46","1959","Q4",7.5,1.4
"47","1960","Q1",7.5,0
"48","1960","Q2",7.6,1.3
"49","1960","Q3",7.7,1.3
"50","1960","Q4",7.8,1.3
"51","1961","Q1",7.8,0
"52","1961","Q2",7.9,1.3
"53","1961","Q3",7.8,-1.3
"54","1961","Q4",7.8,0
"55","1962","Q1",7.8,0
"56","1962","Q2",7.8,0
"57","1962","Q3",7.8,0
"58","1962","Q4",7.8,0
"59","1963","Q1",7.8,0
"60","1963","Q2",7.8,0
"61","1963","Q3",7.9,1.3
"62","1963","Q4",7.9,0
"63","1964","Q1",8,1.3
"64","1964","Q2",8,0
"65","1964","Q3",8.1,1.3
"66","1964","Q4",8.2,1.2
"67","1965","Q1",8.2,0
"68","1965","Q2",8.3,1.2
"69","1965","Q3",8.4,1.2
"70","1965","Q4",8.5,1.2
"71","1966","Q1",8.6,1.2
"72","1966","Q2",8.6,0
"73","1966","Q3",8.6,0
"74","1966","Q4",8.7,1.2
"75","1967","Q1",8.8,1.1
"76","1967","Q2",8.9,1.1
"77","1967","Q3",9,1.1
"78","1967","Q4",9,0
"79","1968","Q1",9.1,1.1
"80","1968","Q2",9.1,0
"81","1968","Q3",9.2,1.1
"82","1968","Q4",9.2,0
"83","1969","Q1",9.4,2.2
"84","1969","Q2",9.4,0
"85","1969","Q3",9.5,1.1
"86","1969","Q4",9.5,0
"87","1970","Q1",9.6,1.1
"88","1970","Q2",9.7,1
"89","1970","Q3",9.8,1
"90","1970","Q4",10,2
"91","1971","Q1",10.1,1
"92","1971","Q2",10.2,1
"93","1971","Q3",10.5,2.9
"94","1971","Q4",10.7,1.9
"95","1972","Q1",10.8,0.9
"96","1972","Q2",10.9,0.9
"97","1972","Q3",11.1,1.8
"98","1972","Q4",11.2,0.9
"99","1973","Q1",11.4,1.8
"100","1973","Q2",11.8,3.5
"101","1973","Q3",12.2,3.4
"102","1973","Q4",12.6,3.3
"103","1974","Q1",13,3.2
"104","1974","Q2",13.5,3.8
"105","1974","Q3",14.2,5.2
"106","1974","Q4",14.7,3.5
"107","1975","Q1",15.3,4.1
"108","1975","Q2",15.8,3.3
"109","1975","Q3",15.9,0.6
"110","1975","Q4",16.8,5.7
"111","1976","Q1",17.3,3
"112","1976","Q2",17.7,2.3
"113","1976","Q3",18.1,2.3
"114","1976","Q4",19.2,6.1
"115","1977","Q1",19.6,2.1
"116","1977","Q2",20.1,2.6
"117","1977","Q3",20.5,2
"118","1977","Q4",21,2.4
"119","1978","Q1",21.3,1.4
"120","1978","Q2",21.7,1.9
"121","1978","Q3",22.1,1.8
"122","1978","Q4",22.6,2.3
"123","1979","Q1",23,1.8
"124","1979","Q2",23.6,2.6
"125","1979","Q3",24.2,2.5
"126","1979","Q4",24.9,2.9
"127","1980","Q1",25.4,2
"128","1980","Q2",26.2,3.1
"129","1980","Q3",26.6,1.5
"130","1980","Q4",27.2,2.3
"131","1981","Q1",27.8,2.2
"132","1981","Q2",28.4,2.2
"133","1981","Q3",29,2.1
"134","1981","Q4",30.2,4.1
"135","1982","Q1",30.8,2
"136","1982","Q2",31.5,2.3
"137","1982","Q3",32.6,3.5
"138","1982","Q4",33.6,3.1
"139","1983","Q1",34.3,2.1
"140","1983","Q2",35,2
"141","1983","Q3",35.6,1.7
"142","1983","Q4",36.5,2.5
"143","1984","Q1",36.3,-0.5
"144","1984","Q2",36.4,0.3
"145","1984","Q3",36.9,1.4
"146","1984","Q4",37.4,1.4
"147","1985","Q1",37.9,1.3
"148","1985","Q2",38.8,2.4
"149","1985","Q3",39.7,2.3
"150","1985","Q4",40.5,2
"151","1986","Q1",41.4,2.2
"152","1986","Q2",42.1,1.7
"153","1986","Q3",43.2,2.6
"154","1986","Q4",44.4,2.8
"155","1987","Q1",45.3,2
"156","1987","Q2",46,1.5
"157","1987","Q3",46.8,1.7
"158","1987","Q4",47.6,1.7
"159","1988","Q1",48.4,1.7
"160","1988","Q2",49.3,1.9
"161","1988","Q3",50.2,1.8
"162","1988","Q4",51.2,2
"163","1989","Q1",51.7,1
"164","1989","Q2",53,2.5
"165","1989","Q3",54.2,2.3
"166","1989","Q4",55.2,1.8
"167","1990","Q1",56.2,1.8
"168","1990","Q2",57.1,1.6
"169","1990","Q3",57.5,0.7
"170","1990","Q4",59,2.6
"171","1991","Q1",58.9,-0.2
"172","1991","Q2",59,0.2
"173","1991","Q3",59.3,0.5
"174","1991","Q4",59.9,1
"175","1992","Q1",59.9,0
"176","1992","Q2",59.7,-0.3
"177","1992","Q3",59.8,0.2
"178","1992","Q4",60.1,0.5
"179","1993","Q1",60.6,0.8
"180","1993","Q2",60.8,0.3
"181","1993","Q3",61.1,0.5
"182","1993","Q4",61.2,0.2
"183","1994","Q1",61.5,0.5
"184","1994","Q2",61.9,0.7
"185","1994","Q3",62.3,0.6
"186","1994","Q4",62.8,0.8
"187","1995","Q1",63.8,1.6
"188","1995","Q2",64.7,1.4
"189","1995","Q3",65.5,1.2
"190","1995","Q4",66,0.8
"191","1996","Q1",66.2,0.3
"192","1996","Q2",66.7,0.8
"193","1996","Q3",66.9,0.3
"194","1996","Q4",67,0.1
"195","1997","Q1",67.1,0.1
"196","1997","Q2",66.9,-0.3
"197","1997","Q3",66.6,-0.4
"198","1997","Q4",66.8,0.3
"199","1998","Q1",67,0.3
"200","1998","Q2",67.4,0.6
"201","1998","Q3",67.5,0.1
"202","1998","Q4",67.8,0.4
"203","1999","Q1",67.8,0
"204","1999","Q2",68.1,0.4
"205","1999","Q3",68.7,0.9
"206","1999","Q4",69.1,0.6
"207","2000","Q1",69.7,0.9
"208","2000","Q2",70.2,0.7
"209","2000","Q3",72.9,3.8
"210","2000","Q4",73.1,0.3
"211","2001","Q1",73.9,1.1
"212","2001","Q2",74.5,0.8
"213","2001","Q3",74.7,0.3
"214","2001","Q4",75.4,0.9
"215","2002","Q1",76.1,0.9
"216","2002","Q2",76.6,0.7
"217","2002","Q3",77.1,0.7
"218","2002","Q4",77.6,0.6
"219","2003","Q1",78.6,1.3
"220","2003","Q2",78.6,0
"221","2003","Q3",79.1,0.6
"222","2003","Q4",79.5,0.5
"223","2004","Q1",80.2,0.9
"224","2004","Q2",80.6,0.5
"225","2004","Q3",80.9,0.4
"226","2004","Q4",81.5,0.7
"227","2005","Q1",82.1,0.7
"228","2005","Q2",82.6,0.6
"229","2005","Q3",83.4,1
"230","2005","Q4",83.8,0.5
"231","2006","Q1",84.5,0.8
"232","2006","Q2",85.9,1.7
"233","2006","Q3",86.7,0.9
"234","2006","Q4",86.6,-0.1
"235","2007","Q1",86.6,0
"236","2007","Q2",87.7,1.3
"237","2007","Q3",88.3,0.7
"238","2007","Q4",89.1,0.9
"239","2008","Q1",90.3,1.3
"240","2008","Q2",91.6,1.4
"241","2008","Q3",92.7,1.2
"242","2008","Q4",92.4,-0.3
"243","2009","Q1",92.5,0.1
"244","2009","Q2",92.9,0.4
"245","2009","Q3",93.8,1
"246","2009","Q4",94.3,0.5
"247","2010","Q1",95.2,1
"248","2010","Q2",95.8,0.6
"249","2010","Q3",96.5,0.7
"250","2010","Q4",96.9,0.4
"251","2011","Q1",98.3,1.4
"252","2011","Q2",99.2,0.9
"253","2011","Q3",99.8,0.6
"254","2011","Q4",99.8,0
"255","2012","Q1",99.9,0.1
"256","2012","Q2",100.4,0.5
"257","2012","Q3",101.8,1.4
"258","2012","Q4",102,0.2
"259","2013","Q1",102.4,0.4
"260","2013","Q2",102.8,0.4
"261","2013","Q3",104,1.2
"262","2013","Q4",104.8,0.8
"263","2014","Q1",105.4,0.6
"264","2014","Q2",105.9,0.5
"265","2014","Q3",106.4,0.5
"266","2014","Q4",106.6,0.2
"267","2015","Q1",106.8,0.2
"268","2015","Q2",107.5,0.7
"269","2015","Q3",108,0.5
"270","2015","Q4",108.4,0.4
"271","2016","Q1",108.2,-0.2
"272","2016","Q2",108.6,0.4
"273","2016","Q3",109.4,0.7
"274","2016","Q4",110,0.5
"275","2017","Q1",110.5,0.5
"276","2017","Q2",110.7,0.2
"277","2017","Q3",111.4,0.6
"278","2017","Q4",112.1,0.6
"279","2018","Q1",112.6,0.4
